<<<<<<< HEAD
City,Country
Tokyo,Japan
Jakarta,Indonesia
Delhi,India
Mumbai,India
Manila,Philippines
Shanghai,China
SÃ£o Paulo,Brazil
Seoul,Korea
Mexico City,Mexico
Guangzhou,China
Beijing,China
Cairo,Egypt
New York,United States
KolkÄta,India
Moscow,Russia
Bangkok,Thailand
Buenos Aires,Argentina
Shenzhen,China
Dhaka,Bangladesh
Lagos,Nigeria
Istanbul,Turkey
ÅŒsaka,Japan
Karachi,Pakistan
Bangalore,India
Tehran,Iran
Kinshasa,Congo (Kinshasa)
Ho Chi Minh City,Vietnam
Los Angeles,United States
Rio de Janeiro,Brazil
Nanyang,China
Baoding,China
Chennai,India
Chengdu,China
Lahore,Pakistan
Paris,France
London,United Kingdom
Linyi,China
Tianjin,China
Shijiazhuang,China
Zhoukou,China
Lima,Peru
HyderÄbÄd,India
Handan,China
BogotÃ¡,Colombia
Weifang,China
Nagoya,Japan
Wuhan,China
Heze,China
Ganzhou,China
Tongshan,China
Chicago,United States
Luanda,Angola
Changsha,China
Fuyang,China
Kuala Lumpur,Malaysia
Jining,China
Dongguan,China
Jinan,China
Foshan,China
Hanoi,Vietnam
Pune,India
Chongqing,China
Changchun,China
Zhumadian,China
Ningbo,China
Cangzhou,China
Nanjing,China
Hefei,China
Ahmedabad,India
Hong Kong,Hong Kong
Zhanjiang,China
Shaoyang,China
Hengyang,China
Khartoum,Sudan
Nantong,China
Yancheng,China
Nanning,China
Xiâ€™an,China
Shenyang,China
Tangshan,China
Santiago,Chile
Zhengzhou,China
Shangqiu,China
Yantai,China
Riyadh,Saudi Arabia
Dar es Salaam,Tanzania
Xinyang,China
Shangrao,China
Luoyang,China
Bijie,China
Quanzhou,China
Hangzhou,China
Miami,United States
Huanggang,China
Maoming,China
Kunming,China
Nanchong,China
Zunyi,China
Jieyang,China
Luâ€™an,China
Yichun,China
Madrid,Spain
Changde,China
Taizhou,China
Liaocheng,China
Qujing,China
SÅ«rat,India
Baghdad,Iraq
Qingdao,China
Singapore,Singapore
Dallas,United States
Dazhou,China
Suzhou,China
Xiangyang,China
Philadelphia,United States
Giza,Egypt
Nairobi,Kenya
Nangandao,China
Ankara,Turkey
Taiâ€™an,China
Yulin,China
Dezhou,China
Houston,United States
Atlanta,United States
Yongzhou,China
Rangoon,Myanmar
Toronto,Canada
Suihua,China
Washington,United States
Qiqihar,China
Jinhua,China
Saint Petersburg,Russia
Shantou,China
Sydney,Australia
Weinan,China
Suqian,China
Guadalajara,Mexico
Suzhou,China
Fuzhou,China
Zhaotong,China
Pudong,China
Belo Horizonte,Brazil
Zhangzhou,China
Bozhou,China
Melbourne,Australia
Nanchang,China
Xianyang,China
Taizhou,China
Surabaya,Indonesia
Abidjan,CÃ´te Dâ€™Ivoire
Huaihua,China
Jiâ€™an,China
Mianyang,China
Xiaoganzhan,China
Shaoxing,China
Alexandria,Egypt
Yuncheng,China
Pingdingshan,China
Huizhou,China
Huaiâ€™an,China
Xinpu,China
Chenzhou,China
Guilin,China
