product_id,product_name,product_catgory,price
RAMY4ARGVTY,4893 RAM,component,1038.63
RAMMHB4W78K,5888 RAM,component,4257.49
RAM0L6LFCF8,2255 RAM,component,3497.75
RAM8VUIX34J,1139 RAM,component,1353.22
RAM6WG4DROB,0487 RAM,component,7950.38
RAM40BJN4IK,6254 RAM,component,733.54
RAM8FX067SC,1225 RAM,component,4169.45
RAMRLNJNHDE,2602 RAM,component,9262.98
RAMYZLNWLGM,3014 RAM,component,3945.69
RAM6UNBMBST,9404 RAM,component,1055.86
RAMNNR0RZ0I,5158 RAM,component,7881.09
RAMD06IN3V7,1921 RAM,component,3753.12
RAM7M9YFJME,1411 RAM,component,993.26
RAMF0DVIZQ7,5082 RAM,component,9194.94
RAM6KB5LJUA,6661 RAM,component,3462.87
RAMOI7EM5NE,5054 RAM,component,8778.82
RAMZ84NX6YV,7136 RAM,component,5311.34
RAMLS25XGZB,9238 RAM,component,6754.19
RAM885NDXNT,5339 RAM,component,1496.65
RAM2K28AHHM,8542 RAM,component,2071.42
RAM97S3MWNE,8386 RAM,component,5789.58
RAMWS35TVA8,4278 RAM,component,0079.88
RAMPSD90Z4S,1840 RAM,component,5023.96
RAM416GQ05M,7537 RAM,component,4903.69
RAMPVFP6EBF,8238 RAM,component,3771.85
RAMG3ZGSRT3,7348 RAM,component,834.55
RAMMRTDCBZV,0514 RAM,component,3287.61
RAMWGZBY6RM,0807 RAM,component,4100.55
RAMOWQ7OQ72,0823 RAM,component,3975.12
RAMZEZV5Q81,5472 RAM,component,9559.82
RAMZB0M71R5,3733 RAM,component,7660.73
RAMR2U4QRYN,2652 RAM,component,7640.14
RAMAIZ8ED0K,0324 RAM,component,737.94
RAMUUPQQAYY,3737 RAM,component,4289.15
RAMNDIDTZYT,7488 RAM,component,6027.35
RAMXNEI6YTC,5706 RAM,component,803.76
RAMW7J39R1M,9605 RAM,component,1475.69
RAMG03B66M4,1227 RAM,component,8338.05
RAMQZKR1I68,4875 RAM,component,1433.28
RAM06GSMBVX,2221 RAM,component,4383.52
RAM78OUCK1M,3043 RAM,component,5412.08
RAMHIUZHVN2,4373 RAM,component,3228.44
RAM2F7XWE32,8557 RAM,component,7276.97
RAM2ZDHIQQT,5592 RAM,component,7578.09
RAMNCTQM5P0,7684 RAM,component,4216.90
RAMLSEY7TRZ,7987 RAM,component,6903.48
RAMQKGAH9N2,5770 RAM,component,9730.98
RAMN68F5B05,0698 RAM,component,113.64
RAMULTCYBVD,7581 RAM,component,5245.37
RAM4FBS9VG4,7487 RAM,component,4559.85
CPUS1J7CCPT,9350 CPU,component,7031.60
CPULTO315GG,5292 CPU,component,311.44
CPU484O8TPI,3860 CPU,component,4913.46
CPU6JIV49A1,4541 CPU,component,4955.25
CPUYBXANPT9,8966 CPU,component,7397.93
CPU9MO00GMB,7182 CPU,component,3446.41
CPUK2PHTI4P,3268 CPU,component,9803.08
